"STUDIEJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","TYPE_HOGER_ONDERWIJS","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","OPLEIDINGSCODE_ACTUEEL","OPLEIDINGSNAAM_ACTUEEL","AANTAL_EERSTEJAARS_INGESCHREVENEN"
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35193","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits",10
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35195","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels",75
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35196","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Frans",6
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35197","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Geschiedenis",52
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35198","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Nederlands",14
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35199","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Scheikunde",-1
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35201","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Aardrijkskunde",6
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35207","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Economie",10
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35221","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Wiskunde",15
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35261","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Natuurkunde",-1
